id;name;description;legal_id;accreditation;additional_information;legal_status
1;brand purple Arizona;../fake-data/blob/hipster.txt;Personal Loan Account;Movies Islands Multi-layered;../fake-data/blob/hipster.txt;PUBLIC_ORGANIZATION
2;Money Market Account Yemeni Rial;../fake-data/blob/hipster.txt;Bacon;Borders paradigms Rhode Island;../fake-data/blob/hipster.txt;PRIVATE_ORGANIZATION
3;Belgium;../fake-data/blob/hipster.txt;Chair connecting;Specialist;../fake-data/blob/hipster.txt;PUBLIC_ORGANIZATION
4;bus azure Coves;../fake-data/blob/hipster.txt;Vermont;partnerships;../fake-data/blob/hipster.txt;PUBLIC_ORGANIZATION
5;digital Clothing;../fake-data/blob/hipster.txt;synthesizing;Argentine Peso transmitting;../fake-data/blob/hipster.txt;NON_PROFIT_ORGANIZATION
6;1080p;../fake-data/blob/hipster.txt;Customizable New York Ports;Developer Savings Account;../fake-data/blob/hipster.txt;NON_PROFIT_ORGANIZATION
7;Central hacking holistic;../fake-data/blob/hipster.txt;proactive Home Loan Account Buckinghamshire;coherent;../fake-data/blob/hipster.txt;PUBLIC_ORGANIZATION
8;system;../fake-data/blob/hipster.txt;toolset Bacon intangible;Gorgeous Nevada Bedfordshire;../fake-data/blob/hipster.txt;PUBLIC_ORGANIZATION
9;vortals archive;../fake-data/blob/hipster.txt;Seychelles Rupee Human multi-tasking;Australia;../fake-data/blob/hipster.txt;PRIVATE_ORGANIZATION
10;generate;../fake-data/blob/hipster.txt;wireless capacitor;silver;../fake-data/blob/hipster.txt;PRIVATE_ORGANIZATION
