id;name_short;name_long;description;type_service_color;uuid_oce;uuid_organisation;uuid_entity;archived;deleted
1;auxiliary reboot Brand;Bolivar Fuerte Salad orange;../fake-data/blob/hipster.txt;Unbranded Steel Ball compressing scale;1c767764-b625-453b-afd7-d8b98bffe68a;06eca9f3-6a30-455e-a940-14d0e4b743fb;af920b03-b055-4c47-b2bb-6284895131dd;true;false
2;web-readiness deploy Frozen;hack navigating schemas;../fake-data/blob/hipster.txt;value-added Plains middleware;aab4a05a-0653-4e25-a5a1-6cfc48a3e20e;4dcedf7f-9b8c-41a0-b61c-5d91bd55c3b0;4a910892-6cce-4b67-aab6-18770ed07b44;false;true
3;Optional;Concrete Specialist;../fake-data/blob/hipster.txt;Tunnel;dfba0a50-4cd8-4586-b3cb-4715464cb7ad;3a961d9c-d403-426b-a77e-c50a75467041;b5b05b2d-55a2-43db-9bab-11461c8cb3c6;true;false
4;Poland;Data;../fake-data/blob/hipster.txt;platforms user-facing Chips;550b1bdd-6d6c-438e-887c-fe779f1bbaeb;d625341b-d49b-4d25-bec1-c899b736a45f;a95e1921-4bdb-48d0-9ad3-c73caaa97f4e;false;true
5;Fresh Investment Account;invoice;../fake-data/blob/hipster.txt;functionalities integrate strategize;555d2e11-3635-4284-a996-2b9a461c7043;1e113f3e-8930-4858-9248-1186c8e5c336;f6ce9541-79bb-45cb-b4df-580a7ecc4452;false;true
6;Colorado Avon Cotton;turquoise system-worthy;../fake-data/blob/hipster.txt;payment;52d597e2-a6dd-42a7-b18c-3d5c767076c1;cfba70ba-8774-415a-8f57-f0acc9cd43d6;7f4bc8c0-97e6-4d65-8377-1598470acdd7;true;true
7;Cambridgeshire Berkshire;instruction set Planner;../fake-data/blob/hipster.txt;cross-platform;7a39e51f-7b70-4ad9-94ca-96e18ba11df6;f3a6c33e-5a00-410e-a10c-761e227fe037;fe130ef3-4414-4be2-80a6-c5ad6976e1f2;false;false
8;Incredible Plastic Hat Assurance;COM Administrator;../fake-data/blob/hipster.txt;Florida synthesize;63f2b075-d772-4821-b938-4dc615088443;2817986d-eac9-419e-becc-ba9c2e0c6c1c;f00a015c-147e-4740-afe1-04bd5b08b43f;true;false
9;Baht Bedfordshire Creative;Chair Cotton;../fake-data/blob/hipster.txt;frictionless Profit-focused;fbb7122a-12a2-4060-a701-1ce769e0b5ea;5b6a0ee9-3f44-4821-833d-9b4759e08ea6;154186a5-5fa9-4202-95a1-394a937391b4;false;false
10;JSON Metical;Orchestrator aggregate;../fake-data/blob/hipster.txt;Liaison Borders demand-driven;fb06e561-e5fa-4b87-80d2-e74f1c805afc;787e196f-864c-4f21-8a40-5de261f44e64;8717cab1-1b22-4a00-907e-eef237494d8f;true;true
